id,collection,model,modelNumber,category,price,colors
lofoten-1091-25,Lofoten,lofoten flex1 Pants,1091-25,PANTS,3999,Caviar black 7718; Deep Lichen Green 3011; Baked Apple 5665
lofoten-1082-25,Lofoten,lofoten warm2 Jacket,1082-25,MIDLAYER,2199,Exuberance 1003; Caviar Black 7718; Olive Night / Deep Lichen Green 3013; Dark Citron / deep Lichen Green 5573; Baked Apple / Port 5666
lyngen-2040-26,Lyngen,lyngen thermo100 active Vest,2040-26,MIDLAYER,1999,Gold Flame 1002; Dark Citron 5572; Dark Blue 6656; Caviar Black 7718
lyngen-2011-24,Lyngen,lyngen flex1 light Pants,2011-24,PANTS,2999,Gold Flame 1002; Caviar Black 7718
tamok-1240-26,Tamok,tamok warm3 Jacket,1240-26,MIDLAYER,2499,Cowhide / Port 1214; Olive Night / Deep Lichen 3013; Phantom / Caviar Black 8851
mre-2017-24,Møre,møre flex1 Bibs,2017-24,PANTS,3599,Gold Flame 1002; Deep Lichen 3011; Caviar Black 7718
fjra-2252-26,Fjørå,fjørå flex1 hybrid Pants,2252-26,PANTS,2999,Caviar Black 7718
fjra-2254-26,Fjørå,fjørå flex1 Pants,2254-26,PANTS,2499,Olive Night 3301; Caviar Black 7718; Trooper / limoges 8018; Beluga / winter Twig 8808
fjra-2236-25,Fjørå,fjørå flex1 tech Pants,2236-25,PANTS,1999,Bungee Cord 8860; Trooper 8016; Pesto 3378; Caviar Black 7718
fjra-2300-26,Fjørå,fjørå equaliser T-shirt,2300-26,BASELAYER,1199,Limoges / Trooper 2021; Olive Night / Caviar Black 3329; Winter Twig / Beluga 8883
fjra-2232-25,Fjørå,fjørå equaliser lightweight Long Sleeve,2232-25,BASELAYER,999,Skydiver 2336; Olive Night 3301; Beluga 8806
skibotn-4204-24,Skibotn,skibotn flex1 Pants,4204-24,PANTS,2299,Olive Night 3301; Caviar Black 7718
skibotn-4201-24,Skibotn,skibotn flex1 Shirt,4201-24,SHIRTS,1999,Indigo Night 2295; Winter Twig 8889
skibotn-4207-24,Skibotn,skibotn equaliser tech T-Shirt,4207-24,BASELAYER,1199,Indigo Night 2295; Winter Twig 8889
skibotn-4203-24,Skibotn,skibotn equaliser tech Long sleeve,4203-24,BASELAYER,1499,Indigo Night 2295; Winter Twig 8889
skibotn-4208-24,Skibotn,skibotn equaliser merino 3/4 T-shirt,4208-24,BASELAYER,1299,Caviar Black 7718; Winter Twig 8889; Olive Night 3301
trollveggen-1680-25,Trollveggen,trollveggen warm3 Zip Hood,1680-25,MIDLAYER,2199,Flame Scarlet 1137; Indigo Night 2295; Phantom 8850; Deep Lichen Green 3011
trollveggen-1682-25,Trollveggen,trollveggen warm3 Jacket,1682-25,MIDLAYER,1999,Flame Scarlet 1137; Indigo Night 2295; Phantom 8850; Deep Lichen Green 3011; Whisper White 9911; Port 1206; Dark Citron / Deep Lichen Green 5573; Brilliant Blue / Dark Blue 6655
trollveggen-1684-25,Trollveggen,trollveggen warm3 Vest,1684-25,MIDLAYER,1799,Flame Scarlet 1137; Indigo Night 2295; Phantom 8850; Whisper White 9911; Deep Lichen Green 3011
trollveggen-1614-23,Trollveggen,trollveggen flex1 rescue Pants,1614-23,PANTS,3499,Caviar Black 7718
falketind-1897-26,Falketind,falketind warm1 Hood,1897-26,MIDLAYER,1399,Exuberance / Trooper 1017; Caviar Black 7718; Winter Twig / Beluga 8883; Brilliant Blue / Dark Blue 6655
falketind-1891-26,Falketind,falketind warm2 Jacket,1891-26,MIDLAYER,1699,Indigo Night 2295; Winter Twig 8889; Caviar Black 7718; Dark Citron 5572; Brilliant Blue 6625
falketind-1895-26,Falketind,falketind warm1 active Jacket,1895-26,MIDLAYER,1799,Gold Flame / Exuberance 1014; Caviar Black 7718; Bungee Cord / Winter Twig 8888; Indigo Night 2295; Deep Lichen Green 3011; Dark Blue / Brilliant Blue 6657
falketind-1842-24,Falketind,falketind warm2 stretch Hood,1842-24,MIDLAYER,1899,Caviar Black 7718; Indigo Night 2295; Gold Flame 1002; Dark Citron / Deep Lichen Green 5573
falketind-1810-20,Falketind,falketind flex1 Pants,1810-20,PANTS,2499,Caviar Black 7718; Indigo Night 2295; Tapestry 6646; Winter Twig 8874
falketind-1827-24,Falketind,falketind flex1 short Pants,1827-24,PANTS,2499,Caviar Black 7718
falketind-1891-25,Falketind,falketind flex1 light Pants,1891-25,PANTS,1999,indigo night 2295; Caviar Black 7718; Winter Twig / Caviar Black 8889; Gold Flame 1002
falketind-1951-25,Falketind,falketind equaliserUll T-shirt,1951-25,BASELAYER,999,Gold Flame 1002; Caviar Black 7718; Brilliant Blue 6625
falketind-1950-25,Falketind,falketind equaliserUll Long Sleeve,1950-25,BASELAYER,999,Gold Flame 1002; Caviar Black 7718; Brilliant Blue 6625; Deep Lichen Green 3011
falketind-1954-26,Falketind,falketind equaliserUll Zip Neck,1954-26,BASELAYER,1199,Caviar Black 7718; Deep Lichen Green 3011; Brilliant Blue 6625
29-3448-24,/29,/29 cotton viking patch T-shirt,3448-24,SHIRTS,649,Grey Melange 8870; Caviar Black 7718; Indigo Night 2295
29-3411-23,/29,/29 cotton activity embroidery T-shirt,3411-23,SHIRTS,699,Caviar Black 7718; Grey Melange 8882; Indigo Night 2295; Port 1206; Pure White 9000
29-3417-21,/29,/29 cotton viking T-shirt,3417-21,SHIRTS,649,Pure White 9000; Indigo Night 2295; Grey Melange 8882; Caviar Black / Snowdrop 7780; Port 1206
29-3422-21,/29,/29 cotton Norrøna viking T-shirt,3422-21,SHIRTS,649,Pure White 9000; Indigo Night 2295; Drizzle Melange 2313
29-3405-24,/29,/29 cotton Pocket T-shirt,3405-24,SHIRTS,999,Pure White 9000; Indigo Night 2295; Caviar Black 7718
senja-5818-23,Senja,senja warm1 Hood,5818-23,MIDLAYER,2199,Olive Night 3301; Caviar Black 7718
senja-5812-23,Senja,senja flex1 Pants,5812-23,PANTS,2199,Caviar Black 7718
senja-5820-23,Senja,senja equaliser lightweight Long Sleeve,5820-23,BASELAYER,1499,Caviar Black 7718; Olive Night 3301; Exuberance 1003
senja-5826-23,Senja,senja equaliser lightweight T-shirt,5826-23,BASELAYER,1099,Olive Night 3301; Caviar Black 7718; Exuberance 1003
kvinnherad-4608-25,Kvinnherad,kvinnherad wool Pants,4608-25,PANTS,3999,Olive Night 3301
finnskogen-6034-14,Finnskogen,finnskogen warm2 Jacket,6034-14,MIDLAYER,2699,Light Green 3303
finnskogen-2830-26,Finnskogen,finnskogen hybrid Pants,2830-26,PANTS,2699,Olive Night 3301
finnskogen-2802-23,Finnskogen,finnskogen wool Shirt,2802-23,SHIRTS,2999,Forest Green 3430
femund-2673-26,Femund,femund warm2 Jacket,2673-26,MIDLAYER,1999,Deep Lichen Green 3011; Port 1206; Dark Blue 6656; Caviar Black 7718; Whisper White 9911
femund-2771-25,Femund,femund pureUll Zip Neck,2771-25,BASELAYER,1499,Indigo Night 2295; Caviar Black 7718; Oatmeal / Whisper White; Cowhide / Port 1214; Deep Lichen Green 3011
femund-2658-25,Femund,femund warm1 Zip Neck,2658-25,MIDLAYER,1499,Golden Lime / Olive Night 5569; Snow White 9928; Indigo Night 2295
femund-2760-26,Femund,femund tech Hood,2760-26,BASELAYER,999,Golden Lime 5559; Vintage indigo 2308; Snow White 9928
femund-2668-25,Femund,femund sweat Hood,2668-25,MIDLAYER,1799,Caviar Black 7718; Drizzle 2301
femund-2667-25,Femund,femund sweat Crew Neck,2667-25,MIDLAYER,1699,Caviar Black 7718; Drizzle 2301
femund-2625-24,Femund,femund tech Long Sleeve,2625-24,BASELAYER,899,Vintage Indigo 2308; Snow White 9928; Golden Lime 5559
femund-2651-24,Femund,femund tech T-shirt,2651-24,BASELAYER,799,Snow White 9928; Golden Lime 5559; Caviar Black 7718
femund-2649-24,Femund,femund equaliser merino T-shirt,2649-24,BASELAYER,1099,Golden Lime 5559
femund-2773-25,Femund,femund pureUll Long Sleeve,2773-25,BASELAYER,1299,Indigo Night 2295; Caviar Black 7718; Oatmeal / Whisper White 4416; Cowhide / Port 1214; Deep Lichen Green 3011
femund-2775-25,Femund,femund pureUll T-shirt,2775-25,BASELAYER,1099,Indigo Night 2295; Caviar Black 7718; Deep Lichen Green 3011; Oatmeal / Whisper White 4416
femund-2790-26,Femund,femund equaliserUll Polo Shirt,2790-26,SHIRTS,1299,Indigo Night 2295; Caviar Black 7718; Snow White 9928
femund-2679-25,Femund,femund cotton Polo Shirt,2679-25,SHIRTS,1299,Navy Blazer 2016; Olive Night 3301; Snow White 9928
femund-2690-26,Femund,femund flannel lightweight Shirt,2690-26,SHIRTS,1599,Frozen Fjord 2383; Winter Twig 8874
femund-2640-24,Femund,femund flannel Shirt,2640-24,SHIRTS,2199,Navy Blazer 2016; Rosin 3001; Oatmeal 4411
femund-2669-25,Femund,femund cotton Shirt,2669-25,SHIRTS,1899,Navy Blazer 2016; Olive Night 3301; Winter Twig 8874
